zip,total_stores,total_reviews,review_weighted_avg
80134,7,85,2.532
80013,5,130,2.8
80015,4,150,2.767
80016,6,129,2.988
80219,1,30,1.7
80634,3,30,3.2
80504,3,70,2.843
80022,3,70,3.089
80229,5,80,2.542
80525,8,66,3.342
80631,1,21,2.3
80020,5,117,2.693
80012,9,217,2.896
80011,3,121,1.95
80918,6,124,3.48
80538,4,28,3.307
80233,4,29,3.338
80239,2,142,2.186
80123,4,196,2.924
80526,2,23,3.374
80127,3,20,2.8
80126,6,93,2.862
80537,2,41,2.854
80501,8,111,2.831
80010,0,0,0.0
80401,5,79,3.257
80550,2,8,3.15
80601,5,67,3.101
80602,2,47,2.585
80017,1,61,2.5
80221,1,18,3.0
80916,2,59,3.615
80249,7,248,2.341
80014,1,47,2.9
80906,6,91,3.538
80920,7,114,3.084
80524,5,37,3.611
80521,0,0,0.0
80210,3,60,3.035
80909,1,28,3.5
80128,2,41,3.412
80031,1,33,3.2
80220,4,39,2.572
80503,0,0,0.0
80003,6,95,2.84
80211,4,63,2.463
80138,1,75,2.7
80112,7,247,2.514
80004,1,46,2.8
80260,2,3,2.667
80227,2,32,2.65
80021,4,112,2.888
80104,2,14,3.079
80911,0,0,0.0
80516,4,58,2.788
80228,3,85,3.233
80204,3,73,3.295
80231,3,91,3.065
81007,1,5,2.8
80205,1,6,2.0
80027,5,94,3.005
80241,3,51,2.882
80108,6,181,2.787
80026,3,92,2.698
81212,2,17,3.618
80111,6,150,3.207
80917,0,0,0.0
80226,3,117,2.438
80910,0,0,0.0
80831,2,16,3.031
80122,5,52,3.152
80923,3,71,3.177
81005,2,13,2.646
81504,2,6,2.5
81001,0,0,0.0
80817,2,83,3.424
80302,3,70,3.107
80120,3,28,2.761
80129,5,88,2.952
81301,4,25,3.48
80922,3,53,3.228
80238,4,94,2.671
80005,0,0,0.0
80234,1,46,2.4
80919,1,2,3.0
80247,0,0,0.0
80132,1,38,3.1
80109,1,23,3.1
80907,5,50,3.508
80033,5,172,3.105
80214,3,80,3.746
81004,1,19,4.3
80023,8,133,2.841
80304,0,0,0.0
80130,0,0,0.0
80209,3,64,3.347
80206,4,228,2.891
80303,2,47,2.974
80439,3,46,2.5
80301,2,14,2.214
80110,3,42,2.398
80528,1,16,3.8
81501,3,20,3.56
80921,4,87,2.974
81401,3,24,2.696
80222,7,158,3.118
80915,2,30,3.3
80113,5,63,3.238
80232,4,115,3.076
80124,7,188,3.113
80237,0,0,0.0
80207,2,66,2.624
80908,1,4,3.0
80203,1,31,3.6
80904,3,42,3.164
80620,0,0,0.0
80403,1,25,2.8
80002,2,54,3.359
80212,2,44,3.489
80223,1,18,3.4
80534,1,21,2.6
80215,0,0,0.0
80218,2,14,3.279
80224,1,68,3.1
80487,1,38,3.3
80202,9,283,3.275
80121,1,25,3.4
80007,3,21,3.1
80751,1,4,2.5
80905,0,0,0.0
81623,2,4,2.5
80701,1,11,2.9
80903,2,22,3.155
80030,1,44,2.7
80216,2,119,2.392
81601,3,36,3.353
81521,1,15,3.9
80305,2,46,3.139
80513,1,4,3.0
80236,0,0,0.0
81507,1,6,3.0
81503,1,2,3.0
80465,0,0,0.0
80603,0,0,0.0
80018,0,0,0.0
80925,0,0,0.0
81101,2,24,3.146
80924,1,11,2.9
81003,0,0,0.0
81321,1,13,2.5
80107,1,7,3.6
81650,2,30,3.187
80621,1,3,3.7
80549,0,0,0.0
81416,0,0,0.0
81520,1,23,3.9
80640,0,0,0.0
80246,4,125,2.637
80125,1,3,3.3
80863,2,34,3.676
81147,1,7,1.9
81625,1,3,3.0
81082,1,52,2.3
81506,2,10,3.08
80902,0,0,0.0
81505,4,66,3.115
81006,0,0,0.0
81620,3,53,2.702
81403,0,0,0.0
81008,3,51,3.253
81632,1,30,2.4
80424,1,107,3.7
81230,2,8,3.65
80230,2,42,3.229
80517,2,85,3.647
81637,0,0,0.0
81050,0,0,0.0
81611,1,30,2.4
81303,0,0,0.0
81052,0,0,0.0
81122,0,0,0.0
80543,0,0,0.0
80421,0,0,0.0
81201,1,1,1.0
80615,0,0,0.0
80235,0,0,0.0
80498,2,46,3.022
80433,3,38,3.408
80435,1,12,1.7
81631,1,10,3.0
81226,0,0,0.0
81211,0,0,0.0
80310,0,0,0.0
80547,1,30,3.2
80461,0,0,0.0
81635,0,0,0.0
80816,0,0,0.0
81144,0,0,0.0
80723,0,0,0.0
80913,2,11,2.755
80840,0,0,0.0
81647,0,0,0.0
80808,0,0,0.0
80102,1,12,2.4
80514,0,0,0.0
80136,0,0,0.0
81652,0,0,0.0
80927,0,0,0.0
80118,0,0,0.0
81621,1,30,2.9
80530,0,0,0.0
81413,0,0,0.0
81067,0,0,0.0
81435,1,18,2.3
80829,0,0,0.0
81425,0,0,0.0
81137,0,0,0.0
80542,0,0,0.0
80642,0,0,0.0
81526,0,0,0.0
81323,0,0,0.0
81657,3,13,3.231
80116,0,0,0.0
80106,0,0,0.0
80645,0,0,0.0
80019,2,10,3.0
81089,0,0,0.0
81054,0,0,0.0
80759,0,0,0.0
80540,0,0,0.0
80951,2,22,4.018
80651,0,0,0.0
81240,0,0,0.0
80422,1,1,4.0
80807,0,0,0.0
80443,3,62,2.713
80135,0,0,0.0
81252,0,0,0.0
80643,0,0,0.0
81328,0,0,0.0
80470,0,0,0.0
81641,0,0,0.0
81428,0,0,0.0
81125,0,0,0.0
80758,0,0,0.0
80814,0,0,0.0
80446,1,6,1.8
80466,0,0,0.0
81224,0,0,0.0
80452,1,54,3.4
81132,0,0,0.0
80103,0,0,0.0
80610,0,0,0.0
81063,0,0,0.0
81615,0,0,0.0
81432,0,0,0.0
80734,0,0,0.0
81419,0,0,0.0
80654,0,0,0.0
81524,0,0,0.0
81648,0,0,0.0
81326,0,0,0.0
80644,0,0,0.0
80440,0,0,0.0
80459,0,0,0.0
81639,0,0,0.0
80133,0,0,0.0
80467,0,0,0.0
81069,0,0,0.0
80535,0,0,0.0
80536,0,0,0.0
80117,0,0,0.0
80442,1,2,3.0
80720,0,0,0.0
80828,0,0,0.0
80447,0,0,0.0
81415,0,0,0.0
81120,0,0,0.0
81140,0,0,0.0
81223,0,0,0.0
80137,0,0,0.0
80650,0,0,0.0
80930,0,0,0.0
80926,0,0,0.0
80105,0,0,0.0
82082,0,0,0.0
81410,0,0,0.0
80478,0,0,0.0
81073,0,0,0.0
80813,0,0,0.0
81236,0,0,0.0
80520,1,3,1.0
81151,0,0,0.0
81062,0,0,0.0
81334,0,0,0.0
80737,0,0,0.0
81654,0,0,0.0
80045,0,0,0.0
80512,0,0,0.0
